score,cancer_type,element,confidence
0.3405437730847356,Melanoma,C,0.9873204247201599
0.3240049169097044,Colon Adenocarcinoma,C,0.916954961732661
0.3219188141087692,Breast Cancer,C,0.9941721368246895
0.320105211905198,Breast Cancer,C,0.9139525515529033
0.3183046439161854,Breast Cancer,C,0.9617981051407142
0.3149618949639985,Lung Adenocarcinoma,C,0.9673476815504132
0.3144530686457438,Ovarian Serous Cystadenocarcinoma,C,0.8615556470124583
0.3135679040790367,Melanoma,C,0.7898784771211987
0.31330125394086,Colon Adenocarcinoma,C,0.990811723248781
0.3131689604680808,Colon Adenocarcinoma,C,0.7643384083179529
0.3104581737414448,Breast Cancer,C,0.9355961362870175
0.3093008131917523,Breast Cancer,C,0.9331711662882256
0.3092620467974075,Breast Cancer,C,0.8749584798597316
0.3078037369391086,Colon Adenocarcinoma,C,0.9313783153193665
0.3074384300765344,Breast Cancer,C,0.8189179409284303
0.306346221838998,Breast Cancer,C,0.5986218651643981
0.306064235266304,Breast Cancer,C,0.6742715989463087
0.305936510369004,Breast Cancer,C,0.9730179378524972
0.3058542939392197,Lung Adenocarcinoma,C,0.9878562377204836
0.3057708401064431,Breast Cancer,C,0.8900375658869714
0.3050109511225666,Breast Cancer,C,0.9909754596120022
0.303935709665982,Breast Cancer,C,0.9823448087528701
0.3035479503304084,Melanoma,C,0.9966509035631758
0.3032081297515493,Breast Cancer,C,0.9946332683655877
0.302853304082776,Breast Cancer,C,0.9797362686139319
0.302770057038348,Breast Cancer,C,0.880964039414232
0.3021158875778774,Colon Adenocarcinoma,C,0.945617314457863
0.3020748636662807,Colon Adenocarcinoma,C,0.9873298264833781
0.3016333662304821,Colon Adenocarcinoma,C,0.8587506115971528
0.3014853288478346,Breast Cancer,C,0.8888517853665231
0.3014149117118596,Breast Cancer,C,0.7769261877994181
0.3013999013544013,Colon Adenocarcinoma,C,0.33985203970843997
0.30127955935892,Breast Cancer,C,0.6883539700609044
0.3011067062752948,Colon Adenocarcinoma,C,0.21480463518154944
0.300176391145136,Breast Cancer,C,0.679981246289237
0.2999285106359821,Colon Adenocarcinoma,C,0.7209506074170074
0.2998768686364821,Breast Cancer,C,0.13223162053703563
0.2997167136483557,Melanoma,C,0.8193139187797985
0.2994821447626954,Breast Cancer,C,0.6261102774216745
0.2992734958769165,Colon Adenocarcinoma,C,0.80889877768143
0.2992553382879449,Breast Cancer,C,0.9353266239230398
0.2991089071657622,Breast Cancer,C,0.9937243258745675
0.2989580602595296,Breast Cancer,C,0.9935608003783123
0.2986818385985834,Colon Adenocarcinoma,C,0.9026108157696436
0.2984592997283412,Breast Cancer,C,0.7249137113412465
